% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   3.12500000E-02               17   6.0107286271850087E-02   3.5680006313723589E-06   0.0000000000000000E+00   0.0000000000000000E+00   1.8057090634153259E+06   3.5680006313723589E-06
                 1   3.12500000E-02   3.12500000E-02               17   6.0107097355898607E-02  -1.3523875313454822E-02  -1.9500827287624296E-05  -1.9500827287624296E-05   1.8057090634154389E+06  -1.3523875313454822E-02
                 2   6.25000000E-02   3.12500000E-02               17   6.0105865970505545E-02  -5.0420968844292868E-02  -2.8620300918693741E-04  -2.8620300918693741E-04   1.8057090634189690E+06  -5.0420968844292868E-02
                 3   9.37500000E-02   3.12500000E-02               17   6.0099098253674738E-02  -1.0540219087038190E-01  -1.3244431180077529E-03  -1.3244431180077529E-03   1.8057090634411555E+06  -1.0540219087038190E-01
                 4   1.25000000E-01   3.12500000E-02               17   6.0075273768708422E-02  -1.7352027095624462E-01  -3.8127012661285501E-03  -3.8127012661285501E-03   1.8057090635162639E+06  -1.7352027095624462E-01
                 5   1.56250000E-01   3.12500000E-02               17   6.0013285796731340E-02  -2.5018701813143746E-01  -8.4463314455534705E-03  -8.4463314455534705E-03   1.8057090637002103E+06  -2.5018701813143746E-01
                 6   1.87500000E-01   3.12500000E-02               17   5.9878232076181981E-02  -3.3120692859505846E-01  -1.5828553777461517E-02  -1.5828553777461517E-02   1.8057090640691672E+06  -3.3120692859505846E-01
                 7   2.18750000E-01   3.12500000E-02               17   5.9611363457062853E-02  -4.1303652029102322E-01  -2.6404060390613431E-02  -2.6404060390613431E-02   1.8057090647155091E+06  -4.1303652029102322E-01
                 8   2.50000000E-01   3.12500000E-02               17   5.9130403126341817E-02  -4.9313548242480543E-01  -4.0452520042659978E-02  -4.0452520042659978E-02   1.8057090657425961E+06  -4.9313548242480543E-01
                 9   2.81250000E-01   3.12500000E-02               17   5.8314105185750024E-02  -5.6984736373046385E-01  -5.8105545167981616E-02  -5.8105545167981616E-02   1.8057090672598085E+06  -5.6984736373046385E-01
