% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.25000000E-01               18   6.0305482928477691E-02  -4.2754622024682512E-05   0.0000000000000000E+00   0.0000000000000000E+00   1.8057090772636801E+06  -4.2754622024682512E-05
                 1   1.25000000E-01   1.25000000E-01                5   6.9547297368237088E-02   4.3912413326795413E-01  -8.5841850081406518E-02  -8.5841850081406518E-02   1.8057090808063326E+06   4.3912413326795413E-01
                 2   2.50000000E-01   1.25000000E-01                6   2.4102436480585121E-01   1.3851386268855881E+00  -4.8228167684530338E-01  -4.8228167684530338E-01   1.8057091226325477E+06   1.3851386268855881E+00
                 3   3.75000000E-01   1.25000000E-01                6   9.6072081229304163E-01   2.5974067749451044E+00  -9.4500714635722338E-01  -9.4500714635722338E-01   1.8057092159145090E+06   2.5974067749451044E+00
                 4   5.00000000E-01   1.25000000E-01                6   2.4474350716709048E+00   3.4604715311578831E+00  -1.1772923635293284E+00  -1.1772923635293284E+00   1.8057093598375954E+06   3.4604715311578831E+00
                 5   6.25000000E-01   1.25000000E-01                6   3.9966661352987449E+00   3.2409680278237532E+00  -7.9141847441593871E-01  -7.9141847441593871E-01   1.8057095242047606E+06   3.2409680278237532E+00
                 6   7.50000000E-01   1.25000000E-01                6   4.4682609847728028E+00   2.2697637693860884E+00   1.6380430187741052E-01   1.6380430187741052E-01   1.8057096790954079E+06   2.2697637693860884E+00
                 7   8.75000000E-01   1.25000000E-01                6   3.7444300339094050E+00   1.4917566828894717E+00   9.4641134783131131E-01   9.4641134783131131E-01   1.8057098651430684E+06   1.4917566828894717E+00
                 8   1.00000000E+00   1.25000000E-01                6   2.5499632957127476E+00   1.1022428932037978E+00   8.2668216990284904E-01   8.2668216990284904E-01   1.8057102265455094E+06   1.1022428932037978E+00
                 9   1.12500000E+00   1.25000000E-01                6   1.3128632584104596E+00   7.9202639931249008E-01  -7.0953641012040311E-02  -7.0953641012040311E-02   1.8057109496804900E+06   7.9202639931249008E-01
                10   1.25000000E+00   1.25000000E-01                6  -2.8955211024668337E-01   1.0351621810852797E-01  -1.7837462512956441E+00  -1.7837462512956441E+00   1.8057122171733568E+06   1.0351621810852797E-01
                11   1.37500000E+00   1.25000000E-01                6  -1.9850024931786698E+00  -1.5724256229861062E+00  -4.4975724758415554E+00  -4.4975724758415554E+00   1.8057141865687459E+06  -1.5724256229861062E+00
                12   1.50000000E+00   1.25000000E-01                6  -2.3453697634065844E+00  -3.6381695641398615E+00  -6.2159450927361393E+00  -6.2159450927361393E+00   1.8057168221168458E+06  -3.6381695641398615E+00
                13   1.62500000E+00   1.25000000E-01                6  -1.3445406034892238E+00  -4.1711352750573019E+00  -4.7504434155819926E+00  -4.7504434155819926E+00   1.8057197736358945E+06  -4.1711352750573019E+00
                14   1.75000000E+00   1.25000000E-01                6  -4.7894649715174675E-01  -2.4437059367534819E+00  -1.4901573598092581E+00  -1.4901573598092581E+00   1.8057225814412721E+06  -2.4437059367534819E+00
                15   1.87500000E+00   1.25000000E-01                6  -2.6533500404730381E-01   3.3153027837093235E-01   3.2253491912756166E-01   3.2253491912756166E-01   1.8057249735623349E+06   3.3153027837093235E-01
                16   2.00000000E+00  -1.00000000E+00               -1  -2.2801996571862628E-02   2.3872174419583136E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8057268628459468E+06   2.3872174419583136E+00
