 Motion Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
      1    0    520   1   8   1560     56 -1.65781963621445E+00 -2.37154261130677E+00  1.273190E+02
      1    0    520   1  16   1560    112 -1.65815415477997E+00 -2.37254597995427E+00  1.364963E+02
      1    0    520   1  32   1560    224 -1.65817227057747E+00 -2.37262782523830E+00  2.396738E+02
      1    0    520   1  64   1560    448 -1.65817842969306E+00 -2.37263665860105E+00  4.621639E+02
      1    0    520   2   8   3120     56 -1.66975246319161E+00 -2.38996420516646E+00  3.968141E+02
      1    0    520   2  16   3120    112 -1.67064335167589E+00 -2.39080023218763E+00  4.582688E+02
      1    0    520   2  32   3120    224 -1.67070664564630E+00 -2.39090600623936E+00  7.759278E+02
      1    0    520   2  64   3120    448 -1.67070788023435E+00 -2.39090723416000E+00  1.477649E+03
      1    0    520   3   8   5200     56 -1.66203569195499E+00 -2.37578080864383E+00  8.771946E+02
      1    0    520   3  16   5200    112 -1.66352324026237E+00 -2.37770293580579E+00  1.003711E+03
      1    0    520   3  32   5200    224 -1.66366731071929E+00 -2.37791684794662E+00  2.097275E+03
      1    0    520   3  64   5200    448 -1.66367271212309E+00 -2.37792422018968E+00  3.464360E+03
      1    1   1963   1   8   5889     56 -1.66957599652119E+00 -2.39059741072942E+00  6.492441E+02
      1    1   1963   1  16   5889    112 -1.67062900078087E+00 -2.39167338230487E+00  7.397323E+02
      1    1   1963   1  32   5889    224 -1.67067033200365E+00 -2.39172217753658E+00  1.358543E+03
      1    1   1963   1  64   5889    448 -1.67066999148333E+00 -2.39171850376239E+00  2.300114E+03
      1    1   1963   2   8  11778     56 -1.65620138585640E+00 -2.36677745112498E+00  1.578194E+03
      1    1   1963   2  16  11778    112 -1.65783161660493E+00 -2.36812489838965E+00  2.875722E+03
      1    1   1963   2  32  11778    224 -1.65796183960982E+00 -2.36823918589762E+00  5.593227E+03
      1    1   1963   2  64  11778    448 -1.65796240969649E+00 -2.36823564405445E+00  1.016621E+04
      1    1   1963   3   8  19630     56 -1.65465964931254E+00 -2.36743019580997E+00  2.864966E+03
      1    1   1963   3  16  19630    112 -1.65747045188411E+00 -2.36894305123988E+00  5.905080E+03
      1    1   1963   3  32  19630    224 -1.65767943387026E+00 -2.36907303502087E+00  1.001262E+04
      1    1   1963   3  64  19630    448 -1.65767915471969E+00 -2.36906422703019E+00  1.668182E+04
      1    2   7781   1   8  23343     56 -1.65829842279317E+00 -2.36956301654782E+00  5.548664E+03
      1    2   7781   1  16  23343    112 -1.65981518317767E+00 -2.37080304714992E+00  5.675120E+03
      1    2   7781   1  32  23343    224 -1.65994331199937E+00 -2.37089752661114E+00  1.091564E+04
      1    2   7781   1  64  23343    448 -1.65994483302215E+00 -2.37089580407091E+00  2.458958E+04
      1    2   7781   2   8  46686     56 -1.65447384941725E+00 -2.36834648314360E+00  1.074537E+04
      1    2   7781   2  16  46686    112 -1.65742565799449E+00 -2.36895709526222E+00  1.677297E+04
      1    2   7781   2  32  46686    224 -1.65761464280404E+00 -2.36895763136873E+00  3.143205E+04
      1    2   7781   2  64  46686    448 -1.65761172607992E+00 -2.36893803232757E+00  5.711973E+04
      1    2   7781   3   8  77810     56 -1.65458256214425E+00 -2.37297798246353E+00  2.638381E+04
      1    2   7781   3  16  77810    112 -1.65735506378155E+00 -2.36914481857543E+00  3.633400E+04
      1    2   7781   3  32  77810    224 -1.65748165460675E+00 -2.36886543332517E+00  6.163182E+04
      1    2   7781   3  64  77810    448 -1.65747256015095E+00 -2.36882955962100E+00  1.313576E+05
      1    3  15882   1   8  47646     56 -1.65578689725187E+00 -2.36747215079889E+00  2.004406E+04
      1    3  15882   1  16  47646    112 -1.65801916779162E+00 -2.36851578511963E+00  2.167687E+04
      1    3  15882   1  32  47646    224 -1.65819673172904E+00 -2.36865489700295E+00  3.593482E+04
      1    3  15882   1  64  47646    448 -1.65819689169068E+00 -2.36864842893339E+00  5.753375E+04
      1    3  15882   2   8  95292     56 -1.65462499745543E+00 -2.37178674615171E+00  3.704834E+04
      1    3  15882   2  16  95292    112 -1.65742991468048E+00 -2.36927306169089E+00  5.159617E+04
      1    3  15882   2  32  95292    224 -1.65755225677296E+00 -2.36904574018626E+00  9.143687E+04
      1    3  15882   2  64  95292    448 -1.65754493850405E+00 -2.36901538745199E+00  1.629944E+05
