% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.25000000E-01               17   6.0006526745652752E-02  -1.5235888039199195E-07   0.0000000000000000E+00   0.0000000000000000E+00   1.8057088517078815E+06  -1.5235888039199195E-07
                 1   1.25000000E-01   1.25000000E-01               17   5.9973270109091113E-02  -1.7350823720595196E-01  -3.8124368526697974E-03  -3.8124368526697974E-03   1.8057088518080660E+06  -1.7350823720595196E-01
                 2   2.50000000E-01   1.25000000E-01               17   5.9018586895288355E-02  -4.9306534617676395E-01  -4.0446766678562049E-02  -4.0446766678562049E-02   1.8057088540485778E+06  -4.9306534617676395E-01
                 3   3.75000000E-01   1.25000000E-01               17   5.2418933253959903E-02  -7.7485845970931588E-01  -1.3280044890525639E-01  -1.3280044890525639E-01   1.8057088642724450E+06  -7.7485845970931588E-01
                 4   5.00000000E-01   1.25000000E-01               17   3.2618084938693545E-02  -1.0086405220973629E+00  -2.8368014683988346E-01  -2.8368014683988346E-01   1.8057088896709394E+06  -1.0086405220973629E+00
                 5   6.25000000E-01   1.25000000E-01               17  -5.4318378668057367E-03  -1.2451220033798645E+00  -5.0157502577558122E-01  -5.0157502577558122E-01   1.8057089379790004E+06  -1.2451220033798645E+00
                 6   7.50000000E-01   1.25000000E-01               17  -6.1364112553975135E-02  -1.5141489108511648E+00  -7.9847696470667129E-01  -7.9847696470667129E-01   1.8057090183823414E+06  -1.5141489108511648E+00
                 7   8.75000000E-01   1.25000000E-01               17  -1.2400218633793750E-01  -1.8118688055661785E+00  -1.1704601707832383E+00  -1.1704601707832383E+00   1.8057091407787567E+06  -1.8118688055661785E+00
                 8   1.00000000E+00   1.25000000E-01               17  -1.7092782701439849E-01  -2.1048941398947676E+00  -1.5786706049210764E+00  -1.5786706049210764E+00   1.8057093125994238E+06  -2.1048941398947676E+00
                 9   1.12500000E+00   1.25000000E-01               17  -1.9055670711755918E-01  -2.3217157998414644E+00  -1.9283391482081611E+00  -1.9283391482081611E+00   1.8057095330941223E+06  -2.3217157998414644E+00
                10   1.25000000E+00   1.25000000E-01               17  -1.9020731609034791E-01  -2.3778791948215088E+00  -2.0899328860735902E+00  -2.0899328860735902E+00   1.8057097867413366E+06  -2.3778791948215088E+00
                11   1.37500000E+00   1.25000000E-01               17  -1.7135486386986704E-01  -2.2398039306134807E+00  -1.9849824873356694E+00  -1.9849824873356694E+00   1.8057100444820274E+06  -2.2398039306134807E+00
                12   1.50000000E+00   1.25000000E-01               17  -1.3834450200435247E-01  -1.8837711128761718E+00  -1.5894318764892681E+00  -1.5894318764892681E+00   1.8057102707286400E+06  -1.8837711128761718E+00
                13   1.62500000E+00   1.25000000E-01               17  -9.3920025161325124E-02  -1.3153373893007945E+00  -9.7686922320631042E-01  -9.7686922320631042E-01   1.8057104326706410E+06  -1.3153373893007945E+00
                14   1.75000000E+00   1.25000000E-01               17  -4.3300255914499750E-02  -5.6588340664806747E-01  -3.2494086241119319E-01  -3.2494086241119319E-01   1.8057105132013885E+06  -5.6588340664806747E-01
                15   1.87500000E+00   1.25000000E-01               17   6.5306854498929107E-03   3.1413022418851194E-01   1.0353413150744692E-01   1.0353413150744692E-01   1.8057105231743364E+06   3.1413022418851194E-01
                16   2.00000000E+00  -1.00000000E+00               -1   4.3333223090997242E-02   1.3108840522853555E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8057105093779801E+06   1.3108840522853555E+00
