 Motion Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
      1    0    520   1   8   1560     56 -1.65818196071520E+00 -2.37193349854502E+00  7.203446E+01
      1    0    520   1  16   1560    112 -1.65851409841576E+00 -2.37292767385789E+00  1.348262E+02
      1    0    520   1  32   1560    224 -1.65853196854538E+00 -2.37300902693885E+00  2.301364E+02
      1    0    520   1  64   1560    448 -1.65853815504313E+00 -2.37301799513930E+00  4.475305E+02
      1    0    520   2   8   3120     56 -1.67015346082859E+00 -2.39052825807872E+00  2.258245E+02
      1    0    520   2  16   3120    112 -1.67105400696459E+00 -2.39136346506153E+00  4.298542E+02
      1    0    520   2  32   3120    224 -1.67111769794701E+00 -2.39147096170343E+00  7.212920E+02
      1    0    520   2  64   3120    448 -1.67111890678670E+00 -2.39147256569733E+00  1.387889E+03
      1    0    520   3   8   5200     56 -1.66235804138619E+00 -2.37620155528343E+00  5.005380E+02
      1    0    520   3  16   5200    112 -1.66380455505590E+00 -2.37804087196658E+00  9.277004E+02
      1    0    520   3  32   5200    224 -1.66394886459070E+00 -2.37825585753799E+00  1.561131E+03
      1    0    520   3  64   5200    448 -1.66395418935899E+00 -2.37826348538628E+00  2.966832E+03
      1    1   1963   1   8   5889     56 -1.66994058583833E+00 -2.39107919551351E+00  3.872248E+02
      1    1   1963   1  16   5889    112 -1.67097756720057E+00 -2.39211609475813E+00  7.077849E+02
      1    1   1963   1  32   5889    224 -1.67101935424729E+00 -2.39216697125909E+00  1.300773E+03
      1    1   1963   1  64   5889    448 -1.67101895683139E+00 -2.39216340555969E+00  2.166267E+03
      1    1   1963   2   8  11778     56 -1.65652084957687E+00 -2.36723380230486E+00  1.206009E+03
      1    1   1963   2  16  11778    112 -1.65811195970622E+00 -2.36850233577483E+00  2.346180E+03
      1    1   1963   2  32  11778    224 -1.65824033502228E+00 -2.36861766514985E+00  4.477978E+03
      1    1   1963   2  64  11778    448 -1.65824073688994E+00 -2.36861456388631E+00  7.581537E+03
      1    1   1963   3   8  19630     56 -1.65496952337725E+00 -2.36785916224938E+00  2.640484E+03
      1    1   1963   3  16  19630    112 -1.65773773869349E+00 -2.36927983650408E+00  4.900585E+03
      1    1   1963   3  32  19630    224 -1.65794607053924E+00 -2.36941560292022E+00  9.105226E+03
      1    1   1963   3  64  19630    448 -1.65794579210582E+00 -2.36940770639711E+00  1.547114E+04
      1    2   7781   1   8  23343     56 -1.65859806809222E+00 -2.36998193343710E+00  3.669422E+03
      1    2   7781   1  16  23343    112 -1.66008890794601E+00 -2.37115597942531E+00  5.430956E+03
      1    2   7781   1  32  23343    224 -1.66021612849302E+00 -2.37125205242878E+00  9.511804E+03
      1    2   7781   1  64  23343    448 -1.66021755631822E+00 -2.37125070706006E+00  1.632164E+04
      1    2   7781   2   8  46686     56 -1.65478755558354E+00 -2.36879234105394E+00  9.528989E+03
      1    2   7781   2  16  46686    112 -1.65769237893463E+00 -2.36929862402711E+00  1.565338E+04
      1    2   7781   2  32  46686    224 -1.65787879736533E+00 -2.36930401332409E+00  2.915757E+04
      1    2   7781   2  64  46686    448 -1.65787587900729E+00 -2.36928557206537E+00  5.374344E+04
      1    2   7781   3   8  77810     56 -1.65492674541502E+00 -2.37348860346032E+00  1.941587E+04
      1    2   7781   3  16  77810    112 -1.65762332091573E+00 -2.36947793828169E+00  3.081488E+04
      1    2   7781   3  32  77810    224 -1.65774608691734E+00 -2.36920667708383E+00  5.680660E+04
      1    2   7781   3  64  77810    448 -1.65773682360943E+00 -2.36917248635194E+00  1.026780E+05
      1    3  15882   1   8  47646     56 -1.65611187385061E+00 -2.36794662954959E+00  1.473753E+04
      1    3  15882   1  16  47646    112 -1.65829813404442E+00 -2.36888115824888E+00  2.116182E+04
      1    3  15882   1  32  47646    224 -1.65847302775958E+00 -2.36902310183327E+00  3.452003E+04
      1    3  15882   1  64  47646    448 -1.65847311231284E+00 -2.36901739171427E+00  5.584863E+04
      1    3  15882   2   8  95292     56 -1.65496170227882E+00 -2.37228274535479E+00  3.028086E+04
      1    3  15882   2  16  95292    112 -1.65769696785384E+00 -2.36961068138391E+00  4.786353E+04
      1    3  15882   2  32  95292    224 -1.65781672184824E+00 -2.36938906976901E+00  8.402027E+04
      1    3  15882   2  64  95292    448 -1.65780927562965E+00 -2.36936028728403E+00  1.517284E+05
      1    3  15882   3   8 158820     56 -1.65536763028558E+00 -2.37921401587804E+00  6.302484E+04
      1    3  15882   3  16 158820    112 -1.65764589674411E+00 -2.36978752372378E+00  9.933523E+04
      1    3  15882   3  32 158820    224 -1.65774917587116E+00 -2.36926986326908E+00  1.667103E+05
      1    3  15882   3  64 158820    448 -1.65773791508923E+00 -2.36922502842182E+00  2.993535E+05
      2    0    520   1   8   1560     56 -2.11638856326884E+00  3.95197693009564E-01  7.523733E+01
      2    0    520   1  16   1560    112 -2.13094079559399E+00  3.57297587433966E-01  1.443923E+02
      2    0    520   1  32   1560    224 -2.12890751252373E+00  3.58202491766615E-01  2.693842E+02
      2    0    520   1  64   1560    448 -2.12891072148906E+00  3.58474541165892E-01  4.678841E+02
      2    0    520   2   8   3120     56 -2.29606448585276E+00  9.43933293176002E-01  2.388787E+02
      2    0    520   2  16   3120    112 -2.25194258150685E+00  9.76310858314994E-01  4.492037E+02
      2    0    520   2  32   3120    224 -2.25272570982172E+00  9.76900498348862E-01  8.397236E+02
      2    0    520   2  64   3120    448 -2.25265339653563E+00  9.77076391254906E-01  1.421359E+03
      2    0    520   3   8   5200     56 -2.35093380089748E+00  8.85245599393719E-01  5.382616E+02
      2    0    520   3  16   5200    112 -2.32159018385959E+00  8.75524095353168E-01  9.696056E+02
      2    0    520   3  32   5200    224 -2.32964120251950E+00  8.69233821080043E-01  1.811912E+03
      2    0    520   3  64   5200    448 -2.32966640307210E+00  8.69349346402720E-01  3.020890E+03
      2    1   1963   1   8   5889     56 -2.18843488618823E+00  1.05144313362224E+00  4.432580E+02
      2    1   1963   1  16   5889    112 -2.16647233800700E+00  1.08792729328471E+00  7.495278E+02
      2    1   1963   1  32   5889    224 -2.16719969237186E+00  1.08875936771700E+00  1.413117E+03
      2    1   1963   1  64   5889    448 -2.16717133342379E+00  1.08892569171375E+00  2.552558E+03
      2    1   1963   2   8  11778     56 -2.30082149585958E+00  8.85858856692549E-01  1.382245E+03
      2    1   1963   2  16  11778    112 -2.26707179852329E+00  9.27065904212911E-01  2.429312E+03
      2    1   1963   2  32  11778    224 -2.27305845097642E+00  9.24511036788134E-01  4.759674E+03
      2    1   1963   2  64  11778    448 -2.27351513192500E+00  9.24318602878941E-01  8.830837E+03
      2    1   1963   3   8  19630     56 -2.27354400828502E+00  8.76824648447214E-01  3.031582E+03
      2    1   1963   3  16  19630    112 -2.28588426871036E+00  8.81300508200602E-01  5.167191E+03
      2    1   1963   3  32  19630    224 -2.29875740893054E+00  8.72599117309064E-01  9.749264E+03
      2    1   1963   3  64  19630    448 -2.29954219727463E+00  8.72033726125948E-01  1.801995E+04
      2    2   7781   1   8  23343     56 -2.29226508325617E+00  9.00135826752693E-01  4.042503E+03
      2    2   7781   1  16  23343    112 -2.26321818247342E+00  9.36728721995385E-01  6.508122E+03
      2    2   7781   1  32  23343    224 -2.27018290968666E+00  9.33102008736350E-01  1.016306E+04
      2    2   7781   1  64  23343    448 -2.27058151261568E+00  9.32811930797851E-01  1.792748E+04
      2    2   7781   2   8  46686     56 -2.26110791712203E+00  8.81442462991119E-01  1.064764E+04
      2    2   7781   2  16  46686    112 -2.27939390273689E+00  8.85312356937493E-01  1.829118E+04
      2    2   7781   2  32  46686    224 -2.29275557461824E+00  8.77676484962498E-01  3.063861E+04
      2    2   7781   2  64  46686    448 -2.29337625384633E+00  8.77324746600781E-01  5.794953E+04
      2    2   7781   3   8  77810     56 -2.21976549727411E+00  8.78377290014043E-01  2.176626E+04
      2    2   7781   3  16  77810    112 -2.28312830167383E+00  8.73177541673240E-01  3.668460E+04
      2    2   7781   3  32  77810    224 -2.30505179456657E+00  8.61719024325506E-01  6.055001E+04
      2    2   7781   3  64  77810    448 -2.30649596936807E+00  8.60588692282974E-01  1.134260E+05
      2    3  15882   1   8  47646     56 -2.29076627042712E+00  8.67441537364454E-01  1.647814E+04
      2    3  15882   1  16  47646    112 -2.27222266898940E+00  9.05342576447961E-01  2.591909E+04
      2    3  15882   1  32  47646    224 -2.28449675240800E+00  8.98308673048602E-01  3.860734E+04
      2    3  15882   1  64  47646    448 -2.28461822740033E+00  8.98446939381509E-01  6.049669E+04
      2    3  15882   2   8  95292     56 -2.22869386373973E+00  8.83949424031735E-01  3.459370E+04
      2    3  15882   2  16  95292    112 -2.28135169192326E+00  8.78370774950069E-01  5.847691E+04
      2    3  15882   2  32  95292    224 -2.29905747841594E+00  8.70588773659577E-01  9.441644E+04
      2    3  15882   2  64  95292    448 -2.30026801152693E+00  8.69822188930105E-01  1.673695E+05
      2    3  15882   3   8 158820     56 -2.16574671966487E+00  8.80838762684483E-01  7.334224E+04
      2    3  15882   3  16 158820    112 -2.27173451195848E+00  8.77395343871241E-01  1.189174E+05
      2    3  15882   3  32 158820    224 -2.30118777925699E+00  8.65596696087970E-01  1.972799E+05
      2    3  15882   3  64 158820    448  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
