#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 -9.46922540379092e-11 -6.28845170780323e-06 -9.42796122272685e-12
0.002 -2.75100831004238e-10 -3.6200528857222e-05 -2.16985969976927e-10
0.003 -4.31500168929233e-10 -9.79467174921922e-05 -1.32029726509901e-09
0.004 -5.20447684948522e-10 -0.000191160565091053 -4.57867785526311e-09
0.005 -5.46323875028065e-10 -0.000311746976663585 -1.1661285345666e-08
0.006 -5.34813082708752e-10 -0.00045584626737849 -2.45418513433607e-08
0.007 -5.11768405431212e-10 -0.000621711564214422 -4.55358646698611e-08
0.008 -4.9278803260222e-10 -0.000809710855513401 -7.74213131610278e-08
0.009 -4.82257789258256e-10 -0.0010213466911928 -1.2353520167669e-07
0.01 -4.77520245567575e-10 -0.00125818509960141 -1.87784126115184e-07
0.011 -4.73857397764732e-10 -0.00152121062566835 -2.74581180050894e-07
0.012 -4.67846206220202e-10 -0.00181070279678153 -3.8876513328099e-07
0.013 -4.58463489394489e-10 -0.00212645979664572 -5.35553684320907e-07
0.014 -4.46537029574756e-10 -0.00246812290096088 -7.20548735951704e-07
0.015 -4.33692193269053e-10 -0.00283542165464112 -9.49777647377137e-07
0.016 -4.21401580297243e-10 -0.00322827372818324 -1.22973985472973e-06
0.017 -4.10537381867471e-10 -0.00364676458929836 -1.56743503364198e-06
0.018 -4.01332300725699e-10 -0.00409107157761213 -1.97036643963602e-06
0.019 -3.93653110108971e-10 -0.00456139088802487 -2.44652823078867e-06
0.02 -3.87206711138788e-10 -0.00505789750272712 -3.00439111662089e-06
0.021 -3.81707110364005e-10 -0.00558073939544101 -3.65289668943086e-06
0.022 -3.76912723254463e-10 -0.00613005110367482 -4.40146251315561e-06
0.023 -3.72629926914669e-10 -0.00670596944354074 -5.25999310578909e-06
0.024 -3.6862957131234e-10 -0.00730864061165093 -6.23888950260221e-06
0.025 -3.64670071917317e-10 -0.00793821648210269 -7.34905197757527e-06
0.026 -3.60468987992135e-10 -0.00859484390304743 -8.60187448535957e-06
0.027 -3.55758089654046e-10 -0.00927865270848827 -1.00092329457895e-05
0.028 -3.50290463302372e-10 -0.00998974688885568 -1.1583471148522e-05
0.029 -3.4389735503737e-10 -0.0107282007997433 -1.33373877418963e-05
0.03 -3.36452643523444e-10 -0.0114940599737139 -1.52842262500438e-05
0.031 -3.27936788835359e-10 -0.0122873449849834 -1.74376685750238e-05
0.032 -3.18376436325707e-10 -0.0131080566781918 -1.9811831456773e-05
0.033 -3.07839087554385e-10 -0.0139561816080409 -2.24212651828981e-05
0.034 -2.96461521998026e-10 -0.0148316971731575 -2.52809541289867e-05
0.035 -2.84391177274301e-10 -0.0157345763580672 -2.84063190869356e-05
0.036 -2.71791478212435e-10 -0.0166647921453738 -3.18132215238499e-05
0.037 -2.58847165923726e-10 -0.0176223216002995 -3.5517969814193e-05
0.038 -2.45741205162631e-10 -0.0186071495182638 -3.95373272252877e-05
0.039 -2.32654784326769e-10 -0.0196192714559835 -4.38885211541951e-05
0.04 -2.19751328245366e-10 -0.0206586959417514 -4.85892528550094e-05
0.041 -2.07183603606609e-10 -0.0217254458658687 -5.36577071598918e-05
0.042 -1.95079508102936e-10 -0.0228195589328983 -5.91125613247784e-05
0.043 -1.83552728572067e-10 -0.02394108732231 -6.49729926661263e-05
0.044 -1.72686753785456e-10 -0.0250900966923879 -7.12586846972271e-05
0.045 -1.62550861659838e-10 -0.0262666646855507 -7.79898316177405e-05
0.046 -1.53189461116199e-10 -0.0274708790847988 -8.51871411002153e-05
0.047 -1.44639855648165e-10 -0.0287028357521812 -9.28718353776295e-05
0.048 -1.36900268898899e-10 -0.0299626364595156 -0.000101065650685593
0.049 -1.2999556986415e-10 -0.0312503867052385 -0.000109790835159801
0.05 -1.23900889548167e-10 -0.0325661935958763 -0.000119070145334924
0.051 -1.1859313531204e-10 -0.0339101638565467 -0.00012892684142702
0.052 -1.14065201728408e-10 -0.0352824020194404 -0.000139384681603461
0.053 -1.10276232589968e-10 -0.0366830088225711 -0.000150467915445554
0.054 -1.0718892440309e-10 -0.0381120798346899 -0.000162201276792631
0.055 -1.04773079101506e-10 -0.0395697043071479 -0.000174609976128129
0.056 -1.02987840477908e-10 -0.0410559642417105 -0.000187719692630803
0.057 -1.01783470540795e-10 -0.042570933654666 -0.000201556565978811
0.058 -1.01127994867056e-10 -0.044114678012793 -0.000216147187960217
0.059 -1.00962793680992e-10 -0.0456872538144069 -0.000231518593916027
0.06 -1.01216812709026e-10 -0.0472887082894928 -0.000247698254020406
0.061 -1.01840313959656e-10 -0.0489190791947394 -0.000264714064389437
0.062 -1.02758690445626e-10 -0.0505783946826277 -0.000282594338004066
0.063 -1.03890229752324e-10 -0.0522666732279724 -0.000301367795432314
0.064 -1.05154995821977e-10 -0.0539839235998194 -0.00032106355534621
0.065 -1.0644818360106e-10 -0.0557301448710525 -0.000341711124843894
0.066 -1.07649000824495e-10 -0.0575053264629979 -0.000363340389606642
0.067 -1.08647313368238e-10 -0.0593094482258678 -0.000385981603946289
0.068 -1.09301012685137e-10 -0.0611424805594467 -0.000409665380824847
0.069 -1.09475095655398e-10 -0.0630043845977006 -0.000434422682069613
0.07 -1.09009690163475e-10 -0.0648951123017341 -0.0004602848077781
0.071 -1.07748476807501e-10 -0.0668146069986157 -0.000487283388715967
0.0720000000000001 -1.05515596260375e-10 -0.0687628036398067 -0.000515450376903426
0.0730000000000001 -1.02126307410799e-10 -0.0707396291617108 -0.000544818036965905
0.0740000000000001 -9.74118563590309e-11 -0.0727450030149797 -0.000575418938938727
0.0750000000000001 -9.11892783506119e-11 -0.0747788377995491 -0.000607285952286152
0.0760000000000001 -8.32756086310837e-11 -0.0768410399918871 -0.000640452241211092
0.0770000000000001 -7.34807770186308e-11 -0.0789315107542343 -0.000674951261343426
0.0780000000000001 -6.16378059703493e-11 -0.0810501468192584 -0.00071081675791751
0.0790000000000001 -4.75743888728175e-11 -0.0831968414455098 -0.000748082765560015
0.0800000000000001 -3.11164427557742e-11 -0.0853714854376726 -0.00078678360979359
0.0810000000000001 -1.21271881425855e-11 -0.0875739682226744 -0.000826953910328748
0.0820000000000001 9.54791801177635e-12 -0.0898041789685635 -0.000868628586164794
0.0830000000000001 3.40207861881936e-11 -0.0920620077303198 -0.00091184286247073
0.0840000000000001 6.14228667927819e-11 -0.0943473466042519 -0.000956632279168146
0.0850000000000001 9.18358722401535e-11 -0.0966600908721915 -0.00100303270109722
0.0860000000000001 1.25334409517563e-10 -0.0990001401160221 -0.00105108032960588
0.0870000000000001 1.61989532898588e-10 -0.101367399283973 -0.00110081171537263
0.0880000000000001 2.01827887735817e-10 -0.103761779690249 -0.00115226377223515
0.0890000000000001 2.44881448452361e-10 -0.106183199930488 -0.00120547379177027
0.0900000000000001 2.91157320475577e-10 -0.108631586696664 -0.00126047945833804
0.0910000000000001 3.40630634809713e-10 -0.111106875475571 -0.00131731886427566
0.0920000000000001 3.9327296974534e-10 -0.113609011117031 -0.00137603052490526
0.0930000000000001 4.49018600079398e-10 -0.1161379482588 -0.00143665339299984
0.0940000000000001 5.07808906036189e-10 -0.118693651597507 -0.00149922687233456
0.0950000000000001 5.69551517060063e-10 -0.121276095996276 -0.00156379082994595
0.0960000000000001 6.34161168022729e-10 -0.123885266421908 -0.00163038560671164
0.0970000000000001 7.01520619372786e-10 -0.12652115770651 -0.00169905202586523
0.0980000000000001 7.71494867990441e-10 -0.129183774130222 -0.00176983139906409
0.0990000000000001 8.43950687112738e-10 -0.131873128823973 -0.00184276552963711
0.1 9.18747744549364e-10 -0.134589242993041 -0.00191789671265089
0.101 9.95731497255292e-10 -0.13733214496412 -0.00199526773145203
0.102 1.07474207311498e-09 -0.140101869060679 -0.00207492185036437
0.103 1.15561960001287e-09 -0.142898454313116 -0.00215690280324712
0.104 1.23819887676291e-09 -0.145721943011999 -0.00224125477764855
0.105 1.32230226768115e-09 -0.148572379114484 -0.00232802239432639
0.106 1.4077627952247e-09 -0.151449806515416 -0.00241725068194332
0.107 1.49442413999168e-09 -0.154354267196293 -0.00250898504678387
0.108 1.58211399536867e-09 -0.157285799266219 -0.00260327123738779
0.109 1.67066716016961e-09 -0.160244434910567 -0.00270015530403539
0.11 1.75993619677683e-09 -0.163230198263701 -0.00279968355306942
0.111 1.84975945671795e-09 -0.166243103223149 -0.00290190249609057
0.112 1.93999660780264e-09 -0.16928315122307 -0.00300685879410223
0.113 2.03050376512692e-09 -0.172350328985441 -0.00311459919674106
0.114 2.12114770192784e-09 -0.175444606267529 -0.00322517047676812
0.115 2.21180940229715e-09 -0.178565933624313 -0.00333861936004665
0.116 2.30236096854242e-09 -0.181714240204389 -0.00345499245127695
0.117 2.39269937196696e-09 -0.184889431597401 -0.0035743361557985
0.118 2.48272336023092e-09 -0.188091387750745 -0.00369669659781297
0.119 2.57233168099447e-09 -0.191319960972379 -0.00382211953541062
0.12 2.6614479509135e-09 -0.194574974035902 -0.00395065027282504
0.121 2.74999578664392e-09 -0.197856218402784 -0.00408233357035537
0.122 2.83788992305745e-09 -0.201163452575816 -0.00421721355243304
0.123 2.92508062216257e-09 -0.204496400596341 -0.00435533361431656
0.124 3.01150393511307e-09 -0.207854750696466 -0.00449673632791936
0.125 3.09711367663112e-09 -0.211238154116245 -0.00464146334728072
0.126 3.18186188508207e-09 -0.214646224093972 -0.00478955531419789
0.127 3.26571125697228e-09 -0.218078535036529 -0.00494105176453108
0.128 3.34863337059232e-09 -0.221534621874856 -0.00509599103569575
0.129 3.43059092244857e-09 -0.225013979608253 -0.00525441017583794
0.13 3.51155904354528e-09 -0.228516063039688 -0.0054163448551825
0.131 3.5915181939572e-09 -0.232040286702418 -0.00558182928002038
0.132 3.67045416282963e-09 -0.235586024977188 -0.00575089610978269
0.133 3.74834918659417e-09 -0.239152612397596 -0.00592357637762181
0.134 3.82518194896875e-09 -0.242739344139913 -0.00609989941489514
0.135 3.90095067359653e-09 -0.246345476692277 -0.00627989277991264
0.136 3.97564825505015e-09 -0.249970228697215 -0.00646358219127718
0.137 4.04925692976121e-09 -0.253612781960154 -0.00665099146611642
0.138 4.12177314501605e-09 -0.257272282615649 -0.00684214246345999
0.139 4.19319157174414e-09 -0.260947842442313 -0.00703705503298779
