#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 9.34363697524532e-13 -4.63285572749328e-06 -1.80655776660854e-11
0.002 1.58717483600412e-11 -1.97214396564505e-05 -2.99211310269458e-10
0.003 7.62661045428104e-11 -4.69838849141979e-05 -1.5641815115288e-09
0.004 2.26961560656491e-10 -8.8044929100306e-05 -5.09334169594223e-09
0.005 5.20168796924736e-10 -0.000144434792375137 -1.27849698548224e-08
0.006 1.00979491435282e-09 -0.000217588616202136 -2.72050373038586e-08
0.007 1.746174760342e-09 -0.000308846429437182 -5.16288896374589e-08
0.008 2.77114686753066e-09 -0.000419453607698017 -9.00752627963283e-08
0.009 4.1134438077961e-09 -0.00055056179118651 -1.47333088801153e-07
0.01 5.78445558119256e-09 -0.000703230226037022 -2.28981560703063e-07
0.011 7.77417596964369e-09 -0.000878427494001244 -3.41403936772542e-07
0.012 1.00475503472808e-08 -0.00107703359539002 -4.91795570296306e-07
0.013 1.25409798101828e-08 -0.0012998423504591 -6.88166653727701e-07
0.014 1.51591592612021e-08 -0.00154756408478463 -9.39340164597159e-07
0.015 1.77720806959769e-08 -0.00182082856492016 -1.25494549581013e-06
0.016 2.02123295878209e-08 -0.00212018815119208 -1.64540824509635e-06
0.017 2.22725429210868e-08 -0.00244612113542786 -2.12193662737191e-06
0.018 2.37031265726273e-08 -0.00279903523259506 -2.696504960438e-06
0.019 2.42101929615046e-08 -0.00317927119598949 -3.38183465843633e-06
0.02 2.34536585708156e-08 -0.00358710652740157 -4.19137314961252e-06
0.021 2.10455830540468e-08 -0.00402275925441842 -5.13927111504831e-06
0.022 1.65487321623914e-08 -0.00448639174882715 -6.24035842364604e-06
0.023 9.47532718953426e-09 -0.00497811456121866 -7.51011911595545e-06
0.024 -7.13981762601179e-10 -0.00549799024850373 -8.96466576567195e-06
0.025 -1.46109204735012e-08 -0.00604603717254548 -1.06207135228339e-05
0.026 -3.2860208776242e-08 -0.00662223324963662 -1.24955541178536e-05
0.027 -5.61598838544342e-08 -0.00722651963209842 -1.46070300795775e-05
0.028 -8.52615098523302e-08 -0.00785880430489527 -1.69735093949568e-05
0.029 -1.20970009120924e-07 -0.00851896558164356 -1.96138608122461e-05
0.03 -1.64143409975281e-07 -0.00920685548604538 -2.25474299639684e-05
0.031 -2.15692272931278e-07 -0.00992230300627739 -2.57940164609186e-05
0.032 -2.76578891345025e-07 -0.0106651172113388 -2.93738520838055e-05
0.033 -3.47816293100323e-07 -0.0114350902199192 -3.33075801753208e-05
0.034 -4.30466943868169e-07 -0.012232000013654 -3.76162363123558e-05
0.035 -5.25641292270507e-07 -0.0130556130883974 -4.23212303162779e-05
0.036 -6.34495989970674e-07 -0.0139056869378891 -4.74443296376234e-05
0.037 -7.58231998077008e-07 -0.0147819723661122 -5.30076441326022e-05
0.038 -8.98092325840594e-07 -0.0156842156255479 -5.90336122289897e-05
0.039 -1.05535968408788e-06 -0.0166121603796547 -6.55449884632425e-05
0.04 -1.23135381180361e-06 -0.0175655494893334 -7.25648323530864e-05
0.041 -1.42742870679058e-06 -0.0185441266238655 -8.01164985565206e-05
0.042 -1.6449695241505e-06 -0.0195476376980039 -8.82236282548146e-05
0.043 -1.88538943746153e-06 -0.0205758321376948 -9.69101416841839e-05
0.044 -2.15012620330413e-06 -0.0216284639778799 -0.000106200231732932
0.045 -2.44063858723109e-06 -0.022705292796438 -0.000116118358509304
0.046 -2.75840269381433e-06 -0.0238060844891734 -0.000126689244780431
