% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.25000000E-01               17   2.5757174171303632E-14   1.3322676295501878E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269915027203503E+01   1.3322676295501878E-15
                 1   1.25000000E-01   1.25000000E-01               17  -2.0460933378174673E-04  -2.2046723436073989E-01  -9.0454533184939900E-03  -9.0454533184939900E-03   3.9270021625546825E+01  -2.2046723436073989E-01
                 2   2.50000000E-01   1.25000000E-01               17  -8.8179443238045607E-04  -5.4315558026912836E-01  -8.0376832881477400E-02  -8.0376832881477400E-02   3.9272607977248946E+01  -5.4315558026912836E-01
                 3   3.75000000E-01   1.25000000E-01               17  -1.1128745840747190E-03  -6.1660170071739850E-01  -2.1887076528934091E-01  -2.1887076528934091E-01   3.9282074384410990E+01  -6.1660170071739850E-01
                 4   5.00000000E-01   1.25000000E-01               17  -1.7060212355302085E-04  -7.4397291210348104E-01  -4.4485756048838998E-01  -4.4485756048838998E-01   3.9301435407884085E+01  -7.4397291210348104E-01
                 5   6.25000000E-01   1.25000000E-01               17   2.4899205515613865E-03  -8.0842881880326090E-01  -7.1354315371445476E-01  -7.1354315371445476E-01   3.9336565949733419E+01  -8.0842881880326090E-01
                 6   7.50000000E-01   1.25000000E-01               17  -8.5356931078250931E-04  -7.5893593140101601E-01  -9.4641658340982726E-01  -9.4641658340982726E-01   3.9385483580716887E+01  -7.5893593140101601E-01
                 7   8.75000000E-01   1.25000000E-01               17  -3.9798118540024241E-04  -7.2078145749838374E-01  -1.1479856827155244E+00  -1.1479856827155244E+00   3.9447175228601985E+01  -7.2078145749838374E-01
                 8   1.00000000E+00   1.25000000E-01               17  -1.5793463756407444E-02  -5.9908963232448587E-01  -1.2117338733766490E+00  -1.2117338733766490E+00   3.9519874257250819E+01  -5.9908963232448587E-01
                 9   1.12500000E+00   1.25000000E-01               17   1.5548198160195703E-03  -4.4084465510469029E-01  -1.1108397448637204E+00  -1.1108397448637204E+00   3.9595419908813014E+01  -4.4084465510469029E-01
                10   1.25000000E+00   1.25000000E-01               17   2.4954401360205214E-02  -2.1781497251658566E-01  -7.7595736395085257E-01  -7.7595736395085257E-01   3.9662856957333091E+01  -2.1781497251658566E-01
                11   1.37500000E+00   1.25000000E-01               17   4.8005049339114869E-02   1.0176706637429386E-01  -1.6508698175114489E-01  -1.6508698175114489E-01   3.9700168654544321E+01   1.0176706637429386E-01
                12   1.50000000E+00   1.25000000E-01               17   1.6730575930585800E-02   4.8390470963018450E-01   6.2593717755988765E-01   6.2593717755988765E-01   3.9680920175127760E+01   4.8390470963018450E-01
                13   1.62500000E+00   1.25000000E-01               17  -4.4038732245890611E-02   8.7392978047925451E-01   1.3723049684289015E+00   1.3723049684289015E+00   3.9593017725093134E+01   8.7392978047925451E-01
                14   1.75000000E+00   1.25000000E-01               17  -6.7183701724668587E-02   1.2768463813091264E+00   1.7856093883305881E+00   1.7856093883305881E+00   3.9449336483497326E+01   1.2768463813091264E+00
                15   1.87500000E+00   1.25000000E-01               17  -2.8993603379672717E-02   1.7605490638289858E+00   1.4960979801364613E+00   1.4960979801364613E+00   3.9294907488825601E+01   1.7605490638289858E+00
                16   2.00000000E+00  -1.00000000E+00               -1   4.4032527004587596E-02   2.3427604317389097E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.9215965256042750E+01   2.3427604317389097E+00
