 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   1    0     80   1  16    320    112 -1.03528448090687E-02 -1.37403815463667E-02  1.082179E+01
        1      1   1    0     80   1  32    320    224 -1.01373672586960E-02 -1.31020641389595E-02  2.284413E+01
        1      1   1    0     80   1  64    320    448 -1.00921921052486E-02 -1.30313781895163E-02  4.360920E+01
        1      1   1    0     80   1 128    320    896 -1.00833841399521E-02 -1.30221995212139E-02  5.067695E+01
        1      1   1    0     80   2  16    720    112 -1.02870821102985E-02 -1.44755381581864E-02  3.392574E+01
        1      1   1    0     80   2  32    720    224 -1.01232892796691E-02 -1.31817940953875E-02  6.631758E+01
        1      1   1    0     80   2  64    720    448 -1.00881897319996E-02 -1.30776979091656E-02  1.186470E+02
        1      1   1    0     80   2 128    720    896 -1.00811557989270E-02 -1.30666762335691E-02  1.408002E+02
        1      1   1    0     80   3  16   1280    112 -1.02956659044474E-02 -1.56033062305704E-02  8.858025E+01
        1      1   1    0     80   3  32   1280    224 -1.01181835667145E-02 -1.32450620591735E-02  1.728047E+02
        1      1   1    0     80   3  64   1280    448 -1.00843146607933E-02 -1.30776011506519E-02  3.309618E+02
        1      1   1    0     80   3 128   1280    896 -1.00779920968788E-02 -1.30639875015411E-02  3.561322E+02
        1      1   1    0     80   4  16   2000    112 -1.03115132472717E-02 -1.70370789625882E-02  2.367425E+02
        1      1   1    0     80   4  32   2000    224 -1.01186163656310E-02 -1.33343998863308E-02  4.587596E+02
        1      1   1    0     80   4  64   2000    448 -1.00841473632909E-02 -1.30828698803612E-02  8.839545E+02
        1      1   1    0     80   4 128   2000    896 -1.00778824522176E-02 -1.30641549729933E-02  9.225332E+02
        1      1   1    1    320   1  16   1280    112 -1.03038721110604E-02 -1.47031529473873E-02  3.843754E+01
        1      1   1    1    320   1  32   1280    224 -1.01253126726486E-02 -1.31854362968362E-02  7.229869E+01
        1      1   1    1    320   1  64   1280    448 -1.00886750555080E-02 -1.30666364063437E-02  1.164483E+02
        1      1   1    1    320   1 128   1280    896 -1.00813959130314E-02 -1.30548307209561E-02  1.631260E+02
        1      1   1    1    320   2  16   2880    112 -1.03086377421806E-02 -1.68155193242826E-02  1.411232E+02
        1      1   1    1    320   2  32   2880    224 -1.01184844726196E-02 -1.33205845012668E-02  2.741522E+02
        1      1   1    1    320   2  64   2880    448 -1.00841062423009E-02 -1.30819123029753E-02  3.449227E+02
        1      1   1    1    320   2 128   2880    896 -1.00777772166566E-02 -1.30638755063933E-02  5.897578E+02
        1      1   1    1    320   3  16   5120    112 -1.03421310970219E-02 -1.97487077178832E-02  3.855525E+02
        1      1   1    1    320   3  32   5120    224 -1.01198815371687E-02 -1.35043618223789E-02  7.388805E+02
        1      1   1    1    320   3  64   5120    448 -1.00839983584803E-02 -1.30932008832602E-02  1.072165E+03
        1      1   1    1    320   3 128   5120    896 -1.00776320742997E-02 -1.30644497674966E-02  1.590969E+03
        1      1   1    1    320   4  16   8000    112 -1.03845592840526E-02 -2.35131295536211E-02  1.086151E+03
        1      1   1    1    320   4  32   8000    224 -1.01219135092243E-02 -1.37408121789093E-02  1.855024E+03
        1      1   1    1    320   4  64   8000    448 -1.00841029701591E-02 -1.31079768827083E-02  3.526133E+03
        1      1   1    1    320   4 128   8000    896 -1.00776343906867E-02 -1.30653647290230E-02  4.194437E+03
        1      1   1    2   1280   1  16   5120    112 -1.03085100204158E-02 -1.63851261691874E-02  1.625390E+02
        1      1   1    2   1280   1  32   5120    224 -1.01205815746970E-02 -1.32939862996121E-02  2.940923E+02
        1      1   1    2   1280   1  64   5120    448 -1.00856268897791E-02 -1.30796664864036E-02  4.379774E+02
        1      1   1    2   1280   1 128   5120    896 -1.00790374022013E-02 -1.30627819485003E-02  6.398579E+02
        1      1   1    2   1280   2  16  11520    112 -1.03517334136171E-02 -2.05730418650646E-02  6.790333E+02
        1      1   1    2   1280   2  32  11520    224 -1.01202923644842E-02 -1.35558853172929E-02  1.044428E+03
        1      1   1    2   1280   2  64  11520    448 -1.00840249988866E-02 -1.30964343622354E-02  1.460270E+03
        1      1   1    2   1280   2 128  11520    896 -1.00776368825597E-02 -1.30646532075326E-02  2.418433E+03
        1      1   1    2   1280   3  16  20480    112 -1.04179835750981E-02 -2.64186687637961E-02  1.995356E+03
        1      1   1    2   1280   3  32  20480    224 -1.01233047813434E-02 -1.39223996780681E-02  2.569762E+03
        1      1   1    2   1280   3  64  20480    448 -1.00841824564827E-02 -1.31193887689825E-02  5.394596E+03
        1      1   1    2   1280   3 128  20480    896 -1.00776356017176E-02 -1.30660728043273E-02  6.540000E+03
        1      1   1    2   1280   4  16  32000    112 -1.05034874954607E-02 -3.39388963247063E-02  5.808569E+03
        1      1   1    2   1280   4  32  32000    224 -1.01277408518583E-02 -1.43966556198645E-02  7.592912E+03
        1      1   1    2   1280   4  64  32000    448 -1.00843994607072E-02 -1.31489058811963E-02  9.549347E+03
        1      1   1    2   1280   4 128  32000    896 -1.00776474238876E-02 -1.30679139011492E-02  1.822834E+04
        1      1   2    0     80   1  16    320    112 -8.28767671192429E-03 -1.14009223713742E-02  1.071450E+01
        1      1   2    0     80   1  32    320    224 -8.44128980375264E-03 -1.14023811594093E-02  2.240036E+01
        1      1   2    0     80   1  64    320    448 -8.45227064366647E-03 -1.14284794759774E-02  3.664064E+01
        1      1   2    0     80   1 128    320    896 -8.45670125241009E-03 -1.14301415437058E-02  5.108098E+01
        1      1   2    0     80   2  16    720    112 -8.43752187410651E-03 -1.27467585623242E-02  3.117434E+01
        1      1   2    0     80   2  32    720    224 -8.57871249264407E-03 -1.24960436952737E-02  6.135137E+01
        1      1   2    0     80   2  64    720    448 -8.58508921531622E-03 -1.25033179911560E-02  1.183411E+02
        1      1   2    0     80   2 128    720    896 -8.58530176646922E-03 -1.25061315996266E-02  1.331431E+02
        1      1   2    0     80   3  16   1280    112 -8.51158495620018E-03 -1.27804363867417E-02  7.780847E+01
        1      1   2    0     80   3  32   1280    224 -8.61019992002197E-03 -1.23006189702876E-02  1.531216E+02
        1      1   2    0     80   3  64   1280    448 -8.61565227780227E-03 -1.23484769178449E-02  2.502011E+02
        1      1   2    0     80   3 128   1280    896 -8.61620135508395E-03 -1.23553306063542E-02  5.820158E+02
        1      1   2    0     80   4  16   2000    112 -8.51360578615711E-03 -1.27177746914673E-02  2.028308E+02
        1      1   2    0     80   4  32   2000    224 -8.59933707831878E-03 -1.21787862746772E-02  3.979568E+02
        1      1   2    0     80   4  64   2000    448 -8.61003477559485E-03 -1.22360803164523E-02  5.357443E+02
        1      1   2    0     80   4 128   2000    896 -8.61006319920294E-03 -1.22443273865720E-02  8.532789E+02
        1      1   2    1    320   1  16   1280    112 -8.39689954300862E-03 -1.24915912622528E-02  3.534869E+01
        1      1   2    1    320   1  32   1280    224 -8.54993425300222E-03 -1.23031043242187E-02  6.802604E+01
        1      1   2    1    320   1  64   1280    448 -8.55588950981737E-03 -1.23043131707115E-02  1.343112E+02
        1      1   2    1    320   1 128   1280    896 -8.55643313210012E-03 -1.23061027416986E-02  1.560911E+02
        1      1   2    1    320   2  16   2880    112 -8.51062567808381E-03 -1.27306723207298E-02  1.116477E+02
        1      1   2    1    320   2  32   2880    224 -8.60254137222397E-03 -1.22166933313006E-02  2.177584E+02
        1      1   2    1    320   2  64   2880    448 -8.61063248528169E-03 -1.22661145197724E-02  4.245756E+02
        1      1   2    1    320   2 128   2880    896 -8.61076486132547E-03 -1.22730214188011E-02  4.808531E+02
        1      1   2    1    320   3  16   5120    112 -8.50687474317110E-03 -1.27309950696919E-02  2.925762E+02
        1      1   2    1    320   3  32   5120    224 -8.59259150102861E-03 -1.21727643946742E-02  5.705269E+02
        1      1   2    1    320   3  64   5120    448 -8.60456187790176E-03 -1.22277589416886E-02  9.789387E+02
        1      1   2    1    320   3 128   5120    896 -8.60441646055076E-03 -1.22350598043734E-02  1.254681E+03
        1      1   2    1    320   4  16   8000    112 -8.50498990991233E-03 -1.27671173402058E-02  7.664393E+02
        1      1   2    1    320   4  32   8000    224 -8.59115898704854E-03 -1.21773382221301E-02  1.513889E+03
        1      1   2    1    320   4  64   8000    448 -8.60395183474888E-03 -1.22309206143403E-02  2.272334E+03
