% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   3.12500000E-02               18   1.4210854715202004E-14   1.3322676295501878E-14   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245428184E+01   1.3322676295501878E-14
                 1   3.12500000E-02   3.12500000E-02               18  -4.6185277824406512E-14  -5.5067062021407764E-14  -4.5390561386570149E-06  -4.5390561386570149E-06   3.9269908292740226E+01  -5.5067062021407764E-14
                 2   6.25000000E-02   3.12500000E-02               26  -2.4158453015843406E-13  -5.5067062021407764E-13  -4.7588837591370074E-05  -4.7588837591370074E-05   3.9269908953780018E+01  -5.5067062021407764E-13
                 3   9.37500000E-02   3.12500000E-02               26  -5.1159076974727213E-13  -2.7888802378583932E-13  -1.8502295053548519E-04  -1.8502295053548519E-04   3.9269912240633339E+01  -2.7888802378583932E-13
                 4   1.25000000E-01   3.12500000E-02               26  -2.0961010704922955E-13   4.4764192352886312E-13  -4.8595102848417290E-04  -4.8595102848417290E-04   3.9269922204043638E+01   4.4764192352886312E-13
                 5   1.56250000E-01   3.12500000E-02               26   4.2987835513486061E-13   4.0856207306205761E-13  -1.0191488460848113E-03  -1.0191488460848113E-03   3.9269945028676375E+01   4.0856207306205761E-13
                 6   1.87500000E-01   3.12500000E-02               26   5.2935433814127464E-13   8.0824236192711396E-14  -1.8522704199250414E-03  -1.8522704199250414E-03   3.9269989037771175E+01   8.0824236192711396E-14
                 7   2.18750000E-01   3.12500000E-02               26   3.5882408155885059E-13   1.3589129821411916E-13  -3.0487748892675639E-03  -3.0487748892675639E-03   3.9270064607548505E+01   1.3589129821411916E-13
                 8   2.50000000E-01   3.12500000E-02               26   3.4816594052244909E-13   3.5882408155885059E-13  -4.6658849117327799E-03  -4.6658849117327799E-03   3.9270184004579427E+01   3.5882408155885059E-13
                 9   2.81250000E-01   3.12500000E-02               26   2.5579538487363607E-13   3.2329694477084558E-13  -6.7530921927787396E-03  -6.7530921927787396E-03   3.9270361166690662E+01   3.2329694477084558E-13
