% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   3.12500000E-02               17   1.4210854715202004E-14   1.3322676295501878E-14   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245428184E+01   1.3322676295501878E-14
                 1   3.12500000E-02   3.12500000E-02               17  -5.6843418860808015E-14  -4.3520742565306136E-14  -4.2786813575026372E-06  -4.2786813575026372E-06   3.9269908275069085E+01  -4.3520742565306136E-14
                 2   6.25000000E-02   3.12500000E-02               17  -2.4868995751603507E-14  -1.0658141036401503E-14  -4.6486212381313154E-05  -4.6486212381313154E-05   3.9269908900025484E+01  -1.0658141036401503E-14
                 3   9.37500000E-02   3.12500000E-02               17  -6.3948846218409017E-14  -1.7763568394002505E-14  -1.8467327936627637E-04  -1.8467327936627637E-04   3.9269912176474300E+01  -1.7763568394002505E-14
                 4   1.25000000E-01   3.12500000E-02               17  -5.3290705182007514E-14   4.0856207306205761E-14  -4.8576043148253418E-04  -4.8576043148253418E-04   3.9269922136275277E+01   4.0856207306205761E-14
                 5   1.56250000E-01   3.12500000E-02               17  -6.7501559897209518E-14   2.2204460492503131E-14  -1.0190114222806690E-03  -1.0190114222806690E-03   3.9269944952001026E+01   2.2204460492503131E-14
                 6   1.87500000E-01   3.12500000E-02               17  -4.9737991503207013E-14   7.3718808835110394E-14  -1.8521836875364356E-03  -1.8521836875364356E-03   3.9269988945294529E+01   7.3718808835110394E-14
                 7   2.18750000E-01   3.12500000E-02               17  -8.5265128291212022E-14   7.0166095156309893E-14  -3.0487454314071208E-03  -3.0487454314071208E-03   3.9270064494117875E+01   7.0166095156309893E-14
                 8   2.50000000E-01   3.12500000E-02               17   1.7763568394002505E-14   4.6185277824406512E-14  -4.6659218900110266E-03  -4.6659218900110266E-03   3.9270183866746621E+01   4.6185277824406512E-14
                 9   2.81250000E-01   3.12500000E-02               17  -2.4868995751603507E-14  -5.6843418860808015E-14  -6.7532085402974857E-03  -6.7532085402974857E-03   3.9270361002252820E+01  -5.6843418860808015E-14
                10   3.12500000E-01   3.12500000E-02               17   1.0658141036401503E-14   3.2862601528904634E-14  -9.3512650156670468E-03  -9.3512650156670468E-03   3.9270611250790843E+01   3.2862601528904634E-14
                11   3.43750000E-01   3.12500000E-02               17   0.0000000000000000E+00  -3.7303493627405260E-14  -1.2491103878171469E-02  -1.2491103878171469E-02   3.9270951084085986E+01  -3.7303493627405260E-14
                12   3.75000000E-01   3.12500000E-02               17  -7.4606987254810520E-14  -5.6843418860808015E-14  -1.6193520690585651E-02  -1.6193520690585651E-02   3.9271397784452077E+01  -5.6843418860808015E-14
                13   4.06250000E-01   3.12500000E-02               17   7.1054273576010019E-14  -1.7763568394002505E-15  -2.0468727244402511E-02  -2.0468727244402511E-02   3.9271969119267283E+01  -1.7763568394002505E-15
