% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.56250000E-02                4   1.0658141036401503E-14   1.0658141036401503E-14   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245428226E+01   1.0658141036401503E-14
                 1   1.56250000E-02   1.56250000E-02                5   1.7735146684572101E-11  -1.2919443292958022E-11  -2.5532752416614235E-07  -2.5532752416614235E-07   3.9269908245423707E+01  -1.2919443292958022E-11
                 2   3.12500000E-02   1.56250000E-02                5   3.2301272767654154E-11  -2.6156854460168688E-11  -4.0137450806000926E-06  -4.0137450806000926E-06   3.9269908245415174E+01  -2.6156854460168688E-11
                 3   4.68750000E-02   1.56250000E-02                5   9.0487617399048759E-12  -1.7337242752546445E-11  -1.6936484384555281E-05  -1.6936484384555281E-05   3.9269908245412523E+01  -1.7337242752546445E-11
                 4   6.25000000E-02   1.56250000E-02                5  -4.9062975904234918E-12  -5.8966165283891314E-12  -4.5986331316153362E-05  -4.5986331316153362E-05   3.9269908245411813E+01  -5.8966165283891314E-12
                 5   7.81250000E-02   1.56250000E-02                5  -2.7924329515371937E-12  -4.4515502395370277E-12  -9.8903157133165866E-05  -9.8903157133165866E-05   3.9269908245411770E+01  -4.4515502395370277E-12
                 6   9.37500000E-02   1.56250000E-02                5  -1.5418777365994174E-12  -4.4719783431901305E-12  -1.8394781982724955E-04  -1.8394781982724955E-04   3.9269908245411990E+01  -4.4719783431901305E-12
                 7   1.09375000E-01   1.56250000E-02                5  -2.9380942123680143E-12  -3.4159342021666816E-12  -3.0968548010468244E-04  -3.0968548010468244E-04   3.9269908245412140E+01  -3.4159342021666816E-12
                 8   1.25000000E-01   1.56250000E-02                5  -5.1123549837939208E-12  -1.8172130467064562E-12  -4.8481195965444589E-04  -4.8481195965444589E-04   3.9269908245412324E+01  -1.8172130467064562E-12
                 9   1.40625000E-01   1.56250000E-02                5  -7.8799189395795111E-12   1.4299672557172016E-13  -7.1802259440213365E-04  -7.1802259440213365E-04   3.9269908245412580E+01   1.4299672557172016E-13
                10   1.56250000E-01   1.56250000E-02                5  -1.1318945780658396E-11   2.5668356329333619E-12  -1.0179065857951184E-03  -1.0179065857951184E-03   3.9269908245412751E+01   2.5668356329333619E-12
                11   1.71875000E-01   1.56250000E-02                5  -1.4956924587750109E-11   5.4170001817510638E-12  -1.3928580504850329E-03  -1.3928580504850329E-03   3.9269908245412935E+01   5.4170001817510638E-12
                12   1.87500000E-01   1.56250000E-02                5  -1.7855938949651318E-11   8.2476248053353629E-12  -1.8509999583199105E-03  -1.8509999583199105E-03   3.9269908245412921E+01   8.2476248053353629E-12
                13   2.03125000E-01   1.56250000E-02                5  -1.8975043758473475E-11   1.0284217921707750E-11  -2.4001187575550631E-03  -2.4001187575550631E-03   3.9269908245412992E+01   1.0284217921707750E-11
                14   2.18750000E-01   1.56250000E-02                5  -1.7521983863844071E-11   1.0698997243707709E-11  -3.0476080074824424E-03  -3.0476080074824424E-03   3.9269908245412942E+01   1.0698997243707709E-11
                15   2.34375000E-01   1.56250000E-02                5  -1.3407941423793091E-11   8.9999119268213690E-12  -3.8004196604014421E-03  -3.8004196604014421E-03   3.9269908245412751E+01   8.9999119268213690E-12
                16   2.50000000E-01   1.56250000E-02                5  -7.4926731485902565E-12   5.3548276923720550E-12  -4.6650219227933453E-03  -4.6650219227933453E-03   3.9269908245412637E+01   5.3548276923720550E-12
                17   2.65625000E-01   1.56250000E-02                5  -1.2931877790833823E-12   5.8353322174298228E-13  -5.6473628578612017E-03  -5.6473628578612017E-03   3.9269908245412196E+01   5.8353322174298228E-13
                18   2.81250000E-01   1.56250000E-02                5   2.0961010704922955E-13  -2.4327206915586430E-12  -6.7528390613243771E-03  -6.7528390613243771E-03   3.9269908245412211E+01  -2.4327206915586430E-12
                19   2.96875000E-01   1.56250000E-02                5   7.1054273576010019E-13  -7.2333250500378199E-12  -7.9862688649379055E-03  -7.9862688649379055E-03   3.9269908245412381E+01  -7.2333250500378199E-12
                20   3.12500000E-01   1.56250000E-02                5  -5.3290705182007514E-13  -1.1355361095866101E-11  -9.3518696164880868E-03  -9.3518696164880868E-03   3.9269908245412459E+01  -1.1355361095866101E-11
                21   3.28125000E-01   1.56250000E-02                5  -2.5544011350575602E-12  -1.4853007712645194E-11  -1.0853238655653831E-02  -1.0853238655653831E-02   3.9269908245412424E+01  -1.4853007712645194E-11
                22   3.43750000E-01   1.56250000E-02                5  -4.3307579744578106E-12  -1.8227197529085970E-11  -1.2493337662751288E-02  -1.2493337662751288E-02   3.9269908245412346E+01  -1.8227197529085970E-11
                23   3.59375000E-01   1.56250000E-02                5  -5.4960480611043749E-12  -2.1774582137368270E-11  -1.4274480102718038E-02  -1.4274480102718038E-02   3.9269908245412054E+01  -2.1774582137368270E-11
                24   3.75000000E-01   1.56250000E-02                5  -6.4908078911685152E-12  -2.5325519459329371E-11  -1.6198321524806332E-02  -1.6198321524806332E-02   3.9269908245411727E+01  -2.5325519459329371E-11
                25   3.90625000E-01   1.56250000E-02                5  -8.1321616107743466E-12  -2.8320457090558193E-11  -1.8265852510646274E-02  -1.8265852510646274E-02   3.9269908245411244E+01  -2.8320457090558193E-11
                26   4.06250000E-01   1.56250000E-02                5  -1.0995648835887550E-11  -3.0174085452472355E-11  -2.0477394090315126E-02  -2.0477394090315126E-02   3.9269908245410591E+01  -3.0174085452472355E-11
                27   4.21875000E-01   1.56250000E-02                5  -1.4935608305677306E-11  -3.0623503732840618E-11  -2.2832595468703545E-02  -2.2832595468703545E-02   3.9269908245409766E+01  -3.0623503732840618E-11
                28   4.37500000E-01   1.56250000E-02                5  -1.9170443010807503E-11  -2.9814373192493804E-11  -2.5330433924029505E-02  -2.5330433924029505E-02   3.9269908245408821E+01  -2.9814373192493804E-11
                29   4.53125000E-01   1.56250000E-02                5  -2.2648549702353193E-11  -2.8244961924883683E-11  -2.7969216756752353E-02  -2.7969216756752353E-02   3.9269908245407862E+01  -2.8244961924883683E-11
                30   4.68750000E-01   1.56250000E-02                5  -1.6946444247878389E-11  -2.9269919821217627E-11  -3.0746585180973535E-02  -3.0746585180973535E-02   3.9269908245405759E+01  -2.9269919821217627E-11
                31   4.84375000E-01   1.56250000E-02                5  -1.3148593325240654E-11  -2.5135449277513544E-11  -3.3659520062058607E-02  -3.3659520062058607E-02   3.9269908245403073E+01  -2.5135449277513544E-11
                32   5.00000000E-01   1.56250000E-02                5  -8.1286088970955461E-12  -2.0395241051573976E-11  -3.6704349409509229E-02  -3.6704349409509229E-02   3.9269908245400089E+01  -2.0395241051573976E-11
                33   5.15625000E-01   1.56250000E-02                5  -2.3483437416871311E-12  -1.5804246800144028E-11  -3.9876757544921912E-02  -3.9876757544921912E-02   3.9269908245397048E+01  -1.5804246800144028E-11
                34   5.31250000E-01   1.56250000E-02                5   3.2187585929932538E-12  -1.1533884958225826E-11  -4.3171795864452106E-02  -4.3171795864452106E-02   3.9269908245393822E+01  -1.1533884958225826E-11
                35   5.46875000E-01   1.56250000E-02                5   8.0895290466287406E-12  -7.7262640729713894E-12  -4.6583895119379798E-02  -4.6583895119379798E-02   3.9269908245390567E+01  -7.7262640729713894E-12
                36   5.62500000E-01   1.56250000E-02                5   1.2164491636212915E-11  -4.4364512064021255E-12  -5.0106879140171409E-02  -5.0106879140171409E-02   3.9269908245387370E+01  -4.4364512064021255E-12
                37   5.78125000E-01   1.56250000E-02                5   1.5482726212212583E-11  -1.7514878436486470E-12  -5.3733979932895609E-02  -5.3733979932895609E-02   3.9269908245384123E+01  -1.7514878436486470E-12
                38   5.93750000E-01   1.56250000E-02                5   1.7955414932657732E-11   1.8118839761882555E-13  -5.7457854082806466E-02  -5.7457854082806466E-02   3.9269908245381103E+01   1.8118839761882555E-13
                39   6.09375000E-01   1.56250000E-02                5   1.9255708139098715E-11   1.2621015343938780E-12  -6.1270600410644541E-02  -6.1270600410644541E-02   3.9269908245378005E+01   1.2621015343938780E-12
                40   6.25000000E-01   1.56250000E-02                5   2.4019897182370187E-11  -2.4957813593573519E-13  -6.5163778842936365E-02  -6.5163778842936365E-02   3.9269908245374594E+01  -2.4957813593573519E-13
                41   6.40625000E-01   1.56250000E-02                5   1.9987567156931618E-11   3.0571101206078310E-12  -6.9128430475755287E-02  -6.9128430475755287E-02   3.9269908245371461E+01   3.0571101206078310E-12
                42   6.56250000E-01   1.56250000E-02                5   1.5784706874910626E-11   6.2740923567616846E-12  -7.3155098827928450E-02  -7.3155098827928450E-02   3.9269908245368754E+01   6.2740923567616846E-12
                43   6.71875000E-01   1.56250000E-02                5   1.2143175354140112E-11   8.1019635445045424E-12  -7.7233852289588137E-02  -7.7233852289588137E-02   3.9269908245366580E+01   8.1019635445045424E-12
                44   6.87500000E-01   1.56250000E-02                5   7.9225515037251171E-12   8.9190876906286576E-12  -8.1354307770524964E-02  -8.1354307770524964E-02   3.9269908245365023E+01   8.9190876906286576E-12
                45   7.03125000E-01   1.56250000E-02                5   3.8227199183893390E-12   9.1571195071082911E-12  -8.5505655539768383E-02  -8.5505655539768383E-02   3.9269908245364135E+01   9.1571195071082911E-12
                46   7.18750000E-01   1.56250000E-02                5   5.8619775700208265E-13   9.4289021035365295E-12  -8.9676685228494479E-02  -8.9676685228494479E-02   3.9269908245364064E+01   9.4289021035365295E-12
