% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   7.81250000E-03                4   1.0658141036401503E-14   1.0658141036401503E-14   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245428226E+01   1.0658141036401503E-14
                 1   7.81250000E-03   7.81250000E-03                5   1.5916157281026244E-12  -9.1215923703202861E-13  -2.3064228486643385E-08  -2.3064228486643385E-08   3.9269908245428098E+01  -9.1215923703202861E-13
                 2   1.56250000E-02   7.81250000E-03                5   3.4816594052244909E-12  -3.3182345759996679E-12  -3.6579353408605559E-07  -3.6579353408605559E-07   3.9269908245427985E+01  -3.3182345759996679E-12
                 3   2.34375000E-02   7.81250000E-03                5   7.8728135122219101E-12  -9.4910745929155382E-12  -1.5454725643017020E-06  -1.5454725643017020E-06   3.9269908245427132E+01  -9.4910745929155382E-12
                 4   3.12500000E-02   7.81250000E-03                5   1.4075851595407585E-11  -1.8972379223214375E-11  -4.2296768371673230E-06  -4.2296768371673230E-06   3.9269908245425370E+01  -1.8972379223214375E-11
                 5   3.90625000E-02   7.81250000E-03                5   1.9237944570704713E-11  -2.9581670446532371E-11  -9.1847088792825702E-06  -9.1847088792825702E-06   3.9269908245422087E+01  -2.9581670446532371E-11
                 6   4.68750000E-02   7.81250000E-03                5   2.2087220941102714E-11  -4.0199843454047368E-11  -1.7251446244417179E-05  -1.7251446244417179E-05   3.9269908245417085E+01  -4.0199843454047368E-11
                 7   5.46875000E-02   7.81250000E-03                5   2.1397994487415417E-11  -4.9739767860046413E-11  -2.9332913176919115E-05  -2.9332913176919115E-05   3.9269908245409653E+01  -4.9739767860046413E-11
                 8   6.25000000E-02   7.81250000E-03                5   1.8037127347270143E-11  -5.8890670118216804E-11  -4.6381743680203209E-05  -4.6381743680203209E-05   3.9269908245398497E+01  -5.8890670118216804E-11
                 9   7.03125000E-02   7.81250000E-03                5  -2.4265034426207421E-12  -5.6417093219351955E-11  -6.9388595300936781E-05  -6.9388595300936781E-05   3.9269908245394873E+01  -5.6417093219351955E-11
                10   7.81250000E-02   7.81250000E-03                5  -2.3018031924948446E-11  -4.2183145865237748E-11  -9.9377018280150879E-05  -9.9377018280150879E-05   3.9269908245393950E+01  -4.2183145865237748E-11
                11   8.59375000E-02   7.81250000E-03                5  -2.8439472998798010E-11  -3.5190517166938662E-11  -1.3739398127381582E-04  -1.3739398127381582E-04   3.9269908245393736E+01  -3.5190517166938662E-11
                12   9.37500000E-02   7.81250000E-03                5  -2.6528113039603340E-11  -3.1248781340309506E-11  -1.8450428023670813E-04  -1.8450428023670813E-04   3.9269908245393708E+01  -3.1248781340309506E-11
                13   1.01562500E-01   7.81250000E-03                5  -2.3902657630969770E-11  -2.8042457245192054E-11  -2.4178535500451689E-04  -2.4178535500451689E-04   3.9269908245393921E+01  -2.8042457245192054E-11
                14   1.09375000E-01   7.81250000E-03                5  -2.1884716261411086E-11  -2.5446311724408588E-11  -3.1032262983606723E-04  -3.1032262983606723E-04   3.9269908245394063E+01  -2.5446311724408588E-11
                15   1.17187500E-01   7.81250000E-03                5  -2.0584423054970102E-11  -2.3164581364198966E-11  -3.9120530262787355E-04  -3.9120530262787355E-04   3.9269908245394305E+01  -2.3164581364198966E-11
                16   1.25000000E-01   7.81250000E-03                5  -1.9863222178173601E-11  -2.0933477173912252E-11  -4.8552252562002673E-04  -4.8552252562002673E-04   3.9269908245394525E+01  -2.0933477173912252E-11
                17   1.32812500E-01   7.81250000E-03                5  -1.9515056237651152E-11  -1.8626877817951026E-11  -5.9435992930605879E-04  -5.9435992930605879E-04   3.9269908245394738E+01  -1.8626877817951026E-11
                18   1.40625000E-01   7.81250000E-03                5  -1.9440449250396341E-11  -1.6154189097505878E-11  -7.1879644794800124E-04  -7.1879644794800124E-04   3.9269908245394966E+01  -1.6154189097505878E-11
                19   1.48437500E-01   7.81250000E-03                5  -1.9557688801796758E-11  -1.3384848784880887E-11  -8.5990141125378270E-04  -8.5990141125378270E-04   3.9269908245395143E+01  -1.3384848784880887E-11
                20   1.56250000E-01   7.81250000E-03                5  -1.9834800468743197E-11  -1.0173195619245234E-11  -1.0187318709474473E-03  -1.0187318709474473E-03   3.9269908245395285E+01  -1.0173195619245234E-11
                21   1.64062500E-01   7.81250000E-03                5  -2.0285995105950860E-11  -6.3904437297424010E-12  -1.1963301345622121E-03  -1.1963301345622121E-03   3.9269908245395413E+01  -6.3904437297424010E-12
                22   1.71875000E-01   7.81250000E-03                5  -2.0882851003989344E-11  -1.9060308886764687E-12  -1.3937214834478912E-03  -1.3937214834478912E-03   3.9269908245395591E+01  -1.9060308886764687E-12
                23   1.79687500E-01   7.81250000E-03                5  -2.1550761175603839E-11   3.3599789617255738E-12  -1.6119120572592566E-03  -1.6119120572592566E-03   3.9269908245395897E+01   3.3599789617255738E-12
                24   1.87500000E-01   7.81250000E-03                5  -2.2172486069393926E-11   9.4440011366714316E-12  -1.8518868914901164E-03  -1.8518868914901164E-03   3.9269908245395932E+01   9.4440011366714316E-12
                25   1.95312500E-01   7.81250000E-03                5  -2.2531310150952777E-11   1.6248336009994091E-11  -2.1146080962424181E-03  -2.1146080962424181E-03   3.9269908245396223E+01   1.6248336009994091E-11
                26   2.03125000E-01   7.81250000E-03                5  -2.2307489189188345E-11   2.3518076375239616E-11  -2.4010131642359391E-03  -2.4010131642359391E-03   3.9269908245396451E+01   2.3518076375239616E-11
                27   2.10937500E-01   7.81250000E-03                5  -2.1156409957256983E-11   3.0792257632583642E-11  -2.7120133966813584E-03  -2.7120133966813584E-03   3.9269908245396564E+01   3.0792257632583642E-11
                28   2.18750000E-01   7.81250000E-03                5  -1.8690826664169435E-11   3.7390535112535872E-11  -3.0484924376411463E-03  -3.0484924376411463E-03   3.9269908245396685E+01   3.7390535112535872E-11
                29   2.26562500E-01   7.81250000E-03                5  -1.4640733070336864E-11   4.2536640876278398E-11  -3.4113049098469404E-03  -3.4113049098469404E-03   3.9269908245396806E+01   4.2536640876278398E-11
                30   2.34375000E-01   7.81250000E-03                5  -8.9244167611468583E-12   4.5491610478620714E-11  -3.8012751463732844E-03  -3.8012751463732844E-03   3.9269908245397090E+01   4.5491610478620714E-11
                31   2.42187500E-01   7.81250000E-03                5  -1.7870149804366520E-12   4.5726977759841247E-11  -4.2191960126460645E-03  -4.2191960126460645E-03   3.9269908245397190E+01   4.5726977759841247E-11
                32   2.50000000E-01   7.81250000E-03                5   6.1852745147916721E-12   4.3116621384342579E-11  -4.6658278127024244E-03  -4.6658278127024244E-03   3.9269908245397346E+01   4.3116621384342579E-11
                33   2.57812500E-01   7.81250000E-03                5   1.4082957022765186E-11   3.8021141790522961E-11  -5.1418972738386630E-03  -5.1418972738386630E-03   3.9269908245397467E+01   3.8021141790522961E-11
                34   2.65625000E-01   7.81250000E-03                5   2.0900614572383347E-11   3.1285196655517211E-11  -5.6480966048862531E-03  -5.6480966048862531E-03   3.9269908245397517E+01   3.1285196655517211E-11
                35   2.73437500E-01   7.81250000E-03                5   2.5742963316588430E-11   2.4021673539209587E-11  -6.1850826245618768E-03  -6.1850826245618768E-03   3.9269908245397609E+01   2.4021673539209587E-11
                36   2.81250000E-01   7.81250000E-03                5   2.8059332635166356E-11   1.7390533457728452E-11  -6.7534759570404140E-03  -6.7534759570404140E-03   3.9269908245397751E+01   1.7390533457728452E-11
                37   2.89062500E-01   7.81250000E-03                5   2.7853275241795927E-11   1.2241763158726826E-11  -7.3538602917029711E-03  -7.3538602917029711E-03   3.9269908245397822E+01   1.2241763158726826E-11
                38   2.96875000E-01   7.81250000E-03                5   2.5679014470370021E-11   8.9324103669241595E-12  -7.9867817036606056E-03  -7.9867817036606056E-03   3.9269908245397914E+01   8.9324103669241595E-12
                39   3.04687500E-01   7.81250000E-03                5   2.2481572159449570E-11   7.2253314442605188E-12  -8.6527480316849238E-03  -8.6527480316849238E-03   3.9269908245397957E+01   7.2253314442605188E-12
                40   3.12500000E-01   7.81250000E-03                5   1.9305446130601922E-11   6.4224181528516056E-12  -9.3522283107051220E-03  -9.3522283107051220E-03   3.9269908245398007E+01   6.4224181528516056E-12
                41   3.20312500E-01   7.81250000E-03                5   1.7031709376169601E-11   5.6088467204062908E-12  -1.0085652256714603E-02  -1.0085652256714603E-02   3.9269908245398000E+01   5.6088467204062908E-12
                42   3.28125000E-01   7.81250000E-03                5   1.6111556533360272E-11   3.9559466813443578E-12  -1.0853409802194944E-02  -1.0853409802194944E-02   3.9269908245398085E+01   3.9559466813443578E-12
                43   3.35937500E-01   7.81250000E-03                5   1.6488144183313125E-11   9.4946273065943387E-13  -1.1655850680174449E-02  -1.1655850680174449E-02   3.9269908245398099E+01   9.4946273065943387E-13
                44   3.43750000E-01   7.81250000E-03                5   1.7699619547784096E-11  -3.5287328614685975E-12  -1.2493284054875394E-02  -1.2493284054875394E-02   3.9269908245398135E+01  -3.5287328614685975E-12
                45   3.51562500E-01   7.81250000E-03                5   1.9085177882516291E-11  -9.1864293949583953E-12  -1.3365978196971804E-02  -1.3365978196971804E-02   3.9269908245398085E+01  -9.1864293949583953E-12
