% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.56250000E-02               17   5.7731597280508140E-15  -6.6613381477509392E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269915027203389E+01  -6.6613381477509392E-15
                 1   1.56250000E-02   1.56250000E-02               17  -4.1765283231853800E-08  -5.7997429643603660E-03  -5.8278270443751744E-06  -5.8278270443751744E-06   3.9269915047149091E+01  -5.7997429643603660E-03
                 2   3.12500000E-02   1.56250000E-02               17  -7.1757297348540305E-07  -1.8837758660189330E-02  -6.7348514913483440E-05  -6.7348514913483440E-05   3.9269915491222200E+01  -1.8837758660189330E-02
                 3   4.68750000E-02   1.56250000E-02               17  -3.3035327300368067E-06  -3.8303147002511473E-02  -2.8282803283088617E-04  -2.8282803283088617E-04   3.9269917947835417E+01  -3.8303147002511473E-02
                 4   6.25000000E-02   1.56250000E-02               17  -9.4487774333629204E-06  -6.3866197173335415E-02  -7.8307801702836091E-04  -7.8307801702836091E-04   3.9269925807934904E+01  -6.3866197173335415E-02
                 5   7.81250000E-02   1.56250000E-02               17  -2.1029952557594100E-05  -9.5241265047022239E-02  -1.7235212846062574E-03  -1.7235212846062574E-03   3.9269944707563916E+01  -9.5241265047022239E-02
                 6   9.37500000E-02   1.56250000E-02               17  -3.9884116867394681E-05  -1.3207598792583575E-01  -3.2772776408592011E-03  -3.2772776408592011E-03   3.9269982858930440E+01  -1.3207598792583575E-01
                 7   1.09375000E-01   1.56250000E-02               17  -6.7429744273983516E-05  -1.7384865630311053E-01  -5.6268117716884794E-03  -5.6268117716884794E-03   3.9270051264939177E+01  -1.7384865630311053E-01
                 8   1.25000000E-01   1.56250000E-02               17  -1.0417985239552507E-04  -2.1972768049345914E-01  -8.9518182669520371E-03  -8.9518182669520371E-03   3.9270163777079510E+01  -2.1972768049345914E-01
                 9   1.40625000E-01   1.56250000E-02               17  -1.4921741088658180E-04  -2.6842002404395116E-01  -1.3411530332124708E-02  -1.3411530332124708E-02   3.9270336921143475E+01  -2.6842002404395116E-01
                10   1.56250000E-01   1.56250000E-02               17  -1.9984877363166120E-04  -3.1814194114976369E-01  -1.9123949948724336E-02  -1.9123949948724336E-02   3.9270589414713371E+01  -3.1814194114976369E-01
