 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   1    0     80   1  16    320    112 -1.03574138115333E-02 -1.37476885076320E-02  1.097447E+01
        1      1   1    0     80   1  32    320    224 -1.01421986195526E-02 -1.31110912609244E-02  2.334441E+01
        1      1   1    0     80   1  64    320    448 -1.00970495107668E-02 -1.30405477402427E-02  2.858546E+01
        1      1   1    0     80   1 128    320    896 -1.00882415901600E-02 -1.30313783302532E-02  5.115066E+01
        1      1   1    0     80   2  16    720    112 -1.02902482135675E-02 -1.44793706295087E-02  3.396482E+01
        1      1   1    0     80   2  32    720    224 -1.01271755688816E-02 -1.31894135263707E-02  6.566794E+01
        1      1   1    0     80   2  64    720    448 -1.00921415075854E-02 -1.30856448635120E-02  1.292590E+02
        1      1   1    0     80   2 128    720    896 -1.00851118431148E-02 -1.30746467551467E-02  1.407983E+02
        1      1   1    0     80   3  16   1280    112 -1.02980286877375E-02 -1.56036868684765E-02  8.827570E+01
        1      1   1    0     80   3  32   1280    224 -1.01219590800594E-02 -1.32523902809738E-02  1.710115E+02
        1      1   1    0     80   3  64   1280    448 -1.00882037281733E-02 -1.30855103575870E-02  3.332594E+02
        1      1   1    0     80   3 128   1280    896 -1.00818892365436E-02 -1.30719384433594E-02  3.541851E+02
        1      1   1    0     80   4  16   2000    112 -1.03129152108528E-02 -1.70330378452923E-02  2.383948E+02
        1      1   1    0     80   4  32   2000    224 -1.01223174692959E-02 -1.33413728784935E-02  4.562514E+02
        1      1   1    0     80   4  64   2000    448 -1.00880267264960E-02 -1.30907517742212E-02  8.538630E+02
        1      1   1    0     80   4 128   2000    896 -1.00817750319703E-02 -1.30721018915296E-02  9.249101E+02
        1      1   1    1    320   1  16   1280    112 -1.03070458795585E-02 -1.47064446742197E-02  3.801572E+01
        1      1   1    1    320   1  32   1280    224 -1.01293745386485E-02 -1.31932982287722E-02  7.293407E+01
        1      1   1    1    320   1  64   1280    448 -1.00928124093867E-02 -1.30748817957703E-02  1.424762E+02
        1      1   1    1    320   1 128   1280    896 -1.00855389442267E-02 -1.30631044084875E-02  1.645504E+02
        1      1   1    1    320   2  16   2880    112 -1.03101943930706E-02 -1.68121439176644E-02  1.420381E+02
        1      1   1    1    320   2  32   2880    224 -1.01222017621900E-02 -1.33276113085726E-02  2.733020E+02
        1      1   1    1    320   2  64   2880    448 -1.00879920712147E-02 -1.30897986736844E-02  3.872282E+02
        1      1   1    1    320   2 128   2880    896 -1.00816756035159E-02 -1.30718234846447E-02  5.885592E+02
        1      1   1    1    320   3  16   5120    112 -1.03418112795633E-02 -1.97371391131235E-02  3.857077E+02
        1      1   1    1    320   3  32   5120    224 -1.01234497764854E-02 -1.35106656105807E-02  7.264827E+02
        1      1   1    1    320   3  64   5120    448 -1.00878679389900E-02 -1.31010370508529E-02  1.148822E+03
        1      1   1    1    320   3 128   5120    896 -1.00815234126680E-02 -1.30723937715773E-02  1.587971E+03
        1      1   1    1    320   4  16   8000    112 -1.03822509827696E-02 -2.34879736421657E-02  1.095147E+03
        1      1   1    1    320   4  32   8000    224 -1.01252945606206E-02 -1.37461919199142E-02  1.955180E+03
        1      1   1    1    320   4  64   8000    448 -1.00879597539864E-02 -1.31157494130111E-02  2.946442E+03
        1      1   1    1    320   4 128   8000    896 -1.00815247794791E-02 -1.30733045582610E-02  4.205023E+03
        1      1   1    2   1280   1  16   5120    112 -1.03104204605660E-02 -1.63830549981493E-02  1.637399E+02
        1      1   1    2   1280   1  32   5120    224 -1.01243898657662E-02 -1.33012005223164E-02  2.922322E+02
        1      1   1    2   1280   1  64   5120    448 -1.00895860177179E-02 -1.30876490795833E-02  5.610916E+02
        1      1   1    2   1280   1 128   5120    896 -1.00830077052056E-02 -1.30708195976191E-02  6.353953E+02
        1      1   1    2   1280   2  16  11520    112 -1.03508706961786E-02 -2.05580346514661E-02  6.848742E+02
        1      1   1    2   1280   2  32  11520    224 -1.01238202322692E-02 -1.35619799435410E-02  1.051101E+03
        1      1   1    2   1280   2  64  11520    448 -1.00878928166376E-02 -1.31042563695354E-02  1.375466E+03
        1      1   1    2   1280   2 128  11520    896 -1.00815290647189E-02 -1.30725960901153E-02  2.402065E+03
        1      1   1    2   1280   3  16  20480    112 -1.04130749537933E-02 -2.63858427431128E-02  1.974053E+03
        1      1   1    2   1280   3  32  20480    224 -1.01265452896843E-02 -1.39270579245734E-02  2.849583E+03
        1      1   1    2   1280   3  64  20480    448 -1.00880293980479E-02 -1.31271121895905E-02  3.646282E+03
        1      1   1    2   1280   3 128  20480    896 -1.00815253358737E-02 -1.30740094175353E-02  6.520988E+03
        1      1   1    2   1280   4  16  32000    112 -1.04906669611763E-02 -3.38572512166727E-02  5.722711E+03
